Test NFA, number of states = 15 propogating length = 225
experiment No = 2980, UNSAT, testing length = 225
experiment No = 2981, UNSAT, testing length = 225
experiment No = 2982, UNSAT, testing length = 225
experiment No = 2983, UNSAT, testing length = 225
experiment No = 2984, UNSAT, testing length = 225
experiment No = 2985, UNSAT, testing length = 225
experiment No = 2986, UNSAT, testing length = 225
experiment No = 2987, UNSAT, testing length = 225
experiment No = 2988, UNSAT, testing length = 225
experiment No = 2989, UNSAT, testing length = 225
experiment No = 2990, UNSAT, testing length = 225
experiment No = 2991, UNSAT, testing length = 225
experiment No = 2992, UNSAT, testing length = 225
experiment No = 2993, UNSAT, testing length = 225
experiment No = 2994, UNSAT, testing length = 225
experiment No = 2995, UNSAT, testing length = 225
experiment No = 2996, UNSAT, testing length = 225
experiment No = 2997, UNSAT, testing length = 225
experiment No = 2998, UNSAT, testing length = 225
experiment No = 2999, UNSAT, testing length = 225
experiment No = 3000, UNSAT, testing length = 225
experiment No = 3001, UNSAT, testing length = 225
experiment No = 3002, UNSAT, testing length = 225
experiment No = 3003, UNSAT, testing length = 225
experiment No = 3004, UNSAT, testing length = 225
experiment No = 3005, UNSAT, testing length = 225
experiment No = 3006, UNSAT, testing length = 225
experiment No = 3007, UNSAT, testing length = 225
experiment No = 3008, UNSAT, testing length = 225
experiment No = 3009, UNSAT, testing length = 225
experiment No = 3010, UNSAT, testing length = 225
experiment No = 3011, UNSAT, testing length = 225
experiment No = 3012, UNSAT, testing length = 225
experiment No = 3013, UNSAT, testing length = 225
experiment No = 3014, UNSAT, testing length = 225
experiment No = 3015, UNSAT, testing length = 225
experiment No = 3016, UNSAT, testing length = 225
experiment No = 3017, UNSAT, testing length = 225
experiment No = 3018, UNSAT, testing length = 225
experiment No = 3019, UNSAT, testing length = 225
experiment No = 3020, UNSAT, testing length = 225
experiment No = 3021, UNSAT, testing length = 225
experiment No = 3022, UNSAT, testing length = 225
experiment No = 3023, UNSAT, testing length = 225
experiment No = 3024, UNSAT, testing length = 225
experiment No = 3025, UNSAT, testing length = 225
experiment No = 3026, UNSAT, testing length = 225
experiment No = 3027, UNSAT, testing length = 225
experiment No = 3028, UNSAT, testing length = 225
experiment No = 3029, UNSAT, testing length = 225
experiment No = 3030, UNSAT, testing length = 225
experiment No = 3031, UNSAT, testing length = 225
experiment No = 3032, UNSAT, testing length = 225
experiment No = 3033, UNSAT, testing length = 225
experiment No = 3034, UNSAT, testing length = 225
experiment No = 3035, UNSAT, testing length = 225
experiment No = 3036, UNSAT, testing length = 225
experiment No = 3037, UNSAT, testing length = 225
experiment No = 3038, UNSAT, testing length = 225
experiment No = 3039, UNSAT, testing length = 225
experiment No = 3040, UNSAT, testing length = 225
experiment No = 3041, UNSAT, testing length = 225
experiment No = 3042, UNSAT, testing length = 225
experiment No = 3043, UNSAT, testing length = 225
experiment No = 3044, UNSAT, testing length = 225
experiment No = 3045, UNSAT, testing length = 225
experiment No = 3046, UNSAT, testing length = 225
experiment No = 3047, UNSAT, testing length = 225
experiment No = 3048, UNSAT, testing length = 225
experiment No = 3049, UNSAT, testing length = 225
experiment No = 3050, UNSAT, testing length = 225
experiment No = 3051, UNSAT, testing length = 225
experiment No = 3052, UNSAT, testing length = 225
experiment No = 3053, UNSAT, testing length = 225
experiment No = 3054, UNSAT, testing length = 225
experiment No = 3055, UNSAT, testing length = 225
experiment No = 3056, UNSAT, testing length = 225
experiment No = 3057, UNSAT, testing length = 225
experiment No = 3058, UNSAT, testing length = 225
experiment No = 3059, UNSAT, testing length = 225
experiment No = 3060, UNSAT, testing length = 225
experiment No = 3061, UNSAT, testing length = 225
experiment No = 3062, UNSAT, testing length = 225
experiment No = 3063, UNSAT, testing length = 225
experiment No = 3064, UNSAT, testing length = 225
experiment No = 3065, UNSAT, testing length = 225
experiment No = 3066, UNSAT, testing length = 225
experiment No = 3067, UNSAT, testing length = 225
experiment No = 3068, UNSAT, testing length = 225
experiment No = 3069, UNSAT, testing length = 225
experiment No = 3070, UNSAT, testing length = 225
experiment No = 3071, UNSAT, testing length = 225
experiment No = 3072, UNSAT, testing length = 225
experiment No = 3073, UNSAT, testing length = 225
experiment No = 3074, UNSAT, testing length = 225
experiment No = 3075, UNSAT, testing length = 225
experiment No = 3076, UNSAT, testing length = 225
experiment No = 3077, UNSAT, testing length = 225
experiment No = 3078, UNSAT, testing length = 225
experiment No = 3079, UNSAT, testing length = 225
experiment No = 3080, UNSAT, testing length = 225
experiment No = 3081, UNSAT, testing length = 225
experiment No = 3082, UNSAT, testing length = 225
experiment No = 3083, UNSAT, testing length = 225
experiment No = 3084, UNSAT, testing length = 225
experiment No = 3085, UNSAT, testing length = 225
experiment No = 3086, UNSAT, testing length = 225
experiment No = 3087, UNSAT, testing length = 225
experiment No = 3088, UNSAT, testing length = 225
experiment No = 3089, UNSAT, testing length = 225
experiment No = 3090, UNSAT, testing length = 225
experiment No = 3091, UNSAT, testing length = 225
experiment No = 3092, UNSAT, testing length = 225
experiment No = 3093, UNSAT, testing length = 225
experiment No = 3094, UNSAT, testing length = 225
experiment No = 3095, UNSAT, testing length = 225
experiment No = 3096, UNSAT, testing length = 225
experiment No = 3097, UNSAT, testing length = 225
experiment No = 3098, UNSAT, testing length = 225
experiment No = 3099, UNSAT, testing length = 225
experiment No = 3100, UNSAT, testing length = 225
experiment No = 3101, UNSAT, testing length = 225
experiment No = 3102, UNSAT, testing length = 225
experiment No = 3103, UNSAT, testing length = 225
experiment No = 3104, UNSAT, testing length = 225
experiment No = 3105, UNSAT, testing length = 225
experiment No = 3106, UNSAT, testing length = 225
experiment No = 3107, UNSAT, testing length = 225
experiment No = 3108, UNSAT, testing length = 225
experiment No = 3109, UNSAT, testing length = 225
experiment No = 3110, UNSAT, testing length = 225
experiment No = 3111, UNSAT, testing length = 225
experiment No = 3112, UNSAT, testing length = 225
experiment No = 3113, UNSAT, testing length = 225
experiment No = 3114, UNSAT, testing length = 225
experiment No = 3115, UNSAT, testing length = 225
experiment No = 3116, UNSAT, testing length = 225
experiment No = 3117, UNSAT, testing length = 225
experiment No = 3118, UNSAT, testing length = 225
experiment No = 3119, UNSAT, testing length = 225
experiment No = 3120, UNSAT, testing length = 225
experiment No = 3121, UNSAT, testing length = 225
experiment No = 3122, UNSAT, testing length = 225
experiment No = 3123, UNSAT, testing length = 225
experiment No = 3124, UNSAT, testing length = 225
experiment No = 3125, UNSAT, testing length = 225
experiment No = 3126, UNSAT, testing length = 225
experiment No = 3127, UNSAT, testing length = 225
experiment No = 3128, UNSAT, testing length = 225
experiment No = 3129, UNSAT, testing length = 225
experiment No = 3130, UNSAT, testing length = 225
experiment No = 3131, UNSAT, testing length = 225
experiment No = 3132, UNSAT, testing length = 225
experiment No = 3133, UNSAT, testing length = 225
experiment No = 3134, UNSAT, testing length = 225
experiment No = 3135, UNSAT, testing length = 225
experiment No = 3136, UNSAT, testing length = 225
experiment No = 3137, UNSAT, testing length = 225
experiment No = 3138, UNSAT, testing length = 225
experiment No = 3139, UNSAT, testing length = 225
experiment No = 3140, UNSAT, testing length = 225
experiment No = 3141, UNSAT, testing length = 225
experiment No = 3142, UNSAT, testing length = 225
experiment No = 3143, UNSAT, testing length = 225
experiment No = 3144, UNSAT, testing length = 225
experiment No = 3145, UNSAT, testing length = 225
experiment No = 3146, UNSAT, testing length = 225
experiment No = 3147, UNSAT, testing length = 225
experiment No = 3148, UNSAT, testing length = 225
experiment No = 3149, UNSAT, testing length = 225
experiment No = 3150, UNSAT, testing length = 225
experiment No = 3151, UNSAT, testing length = 225
experiment No = 3152, UNSAT, testing length = 225
experiment No = 3153, UNSAT, testing length = 225
experiment No = 3154, UNSAT, testing length = 225
experiment No = 3155, UNSAT, testing length = 225
experiment No = 3156, UNSAT, testing length = 225
experiment No = 3157, UNSAT, testing length = 225
experiment No = 3158, UNSAT, testing length = 225
experiment No = 3159, UNSAT, testing length = 225
experiment No = 3160, UNSAT, testing length = 225
experiment No = 3161, UNSAT, testing length = 225
experiment No = 3162, UNSAT, testing length = 225
experiment No = 3163, UNSAT, testing length = 225
experiment No = 3164, UNSAT, testing length = 225
experiment No = 3165, UNSAT, testing length = 225
experiment No = 3166, UNSAT, testing length = 225
experiment No = 3167, UNSAT, testing length = 225
experiment No = 3168, UNSAT, testing length = 225
experiment No = 3169, UNSAT, testing length = 225
experiment No = 3170, UNSAT, testing length = 225
experiment No = 3171, UNSAT, testing length = 225
experiment No = 3172, UNSAT, testing length = 225
experiment No = 3173, UNSAT, testing length = 225
experiment No = 3174, UNSAT, testing length = 225
experiment No = 3175, UNSAT, testing length = 225
experiment No = 3176, UNSAT, testing length = 225
experiment No = 3177, UNSAT, testing length = 225
experiment No = 3178, UNSAT, testing length = 225
experiment No = 3179, UNSAT, testing length = 225
experiment No = 3180, UNSAT, testing length = 225
experiment No = 3181, UNSAT, testing length = 225
experiment No = 3182, UNSAT, testing length = 225
experiment No = 3183, UNSAT, testing length = 225
experiment No = 3184, UNSAT, testing length = 225
experiment No = 3185, UNSAT, testing length = 225
experiment No = 3186, UNSAT, testing length = 225
experiment No = 3187, UNSAT, testing length = 225
experiment No = 3188, UNSAT, testing length = 225
experiment No = 3189, UNSAT, testing length = 225
experiment No = 3190, UNSAT, testing length = 225
experiment No = 3191, UNSAT, testing length = 225
experiment No = 3192, UNSAT, testing length = 225
experiment No = 3193, UNSAT, testing length = 225
experiment No = 3194, UNSAT, testing length = 225
experiment No = 3195, UNSAT, testing length = 225
experiment No = 3196, UNSAT, testing length = 225
experiment No = 3197, UNSAT, testing length = 225
experiment No = 3198, UNSAT, testing length = 225
experiment No = 3199, UNSAT, testing length = 225
experiment No = 3200, UNSAT, testing length = 225
experiment No = 3201, UNSAT, testing length = 225
experiment No = 3202, UNSAT, testing length = 225
experiment No = 3203, UNSAT, testing length = 225
experiment No = 3204, UNSAT, testing length = 225
experiment No = 3205, UNSAT, testing length = 225
experiment No = 3206, UNSAT, testing length = 225
experiment No = 3207, UNSAT, testing length = 225
experiment No = 3208, UNSAT, testing length = 225
experiment No = 3209, UNSAT, testing length = 225
experiment No = 3210, UNSAT, testing length = 225
experiment No = 3211, UNSAT, testing length = 225
experiment No = 3212, UNSAT, testing length = 225
experiment No = 3213, UNSAT, testing length = 225
experiment No = 3214, UNSAT, testing length = 225
experiment No = 3215, UNSAT, testing length = 225
experiment No = 3216, UNSAT, testing length = 225
experiment No = 3217, UNSAT, testing length = 225
experiment No = 3218, UNSAT, testing length = 225
experiment No = 3219, UNSAT, testing length = 225
experiment No = 3220, UNSAT, testing length = 225
experiment No = 3221, UNSAT, testing length = 225
experiment No = 3222, UNSAT, testing length = 225
experiment No = 3223, UNSAT, testing length = 225
experiment No = 3224, UNSAT, testing length = 225
experiment No = 3225, UNSAT, testing length = 225
experiment No = 3226, UNSAT, testing length = 225
experiment No = 3227, UNSAT, testing length = 225
experiment No = 3228, UNSAT, testing length = 225
experiment No = 3229, UNSAT, testing length = 225
experiment No = 3230, UNSAT, testing length = 225
experiment No = 3231, UNSAT, testing length = 225
experiment No = 3232, UNSAT, testing length = 225
experiment No = 3233, UNSAT, testing length = 225
experiment No = 3234, UNSAT, testing length = 225
experiment No = 3235, UNSAT, testing length = 225
experiment No = 3236, UNSAT, testing length = 225
experiment No = 3237, UNSAT, testing length = 225
experiment No = 3238, UNSAT, testing length = 225
experiment No = 3239, UNSAT, testing length = 225
experiment No = 3240, UNSAT, testing length = 225
experiment No = 3241, UNSAT, testing length = 225
experiment No = 3242, UNSAT, testing length = 225
experiment No = 3243, UNSAT, testing length = 225
experiment No = 3244, UNSAT, testing length = 225
experiment No = 3245, UNSAT, testing length = 225
